iter	Passed	Remaining
452	10614	2179
453	10640	2156
454	10665	2133
455	10697	2111
456	10719	2087
457	10737	2063
458	10761	2039
459	10784	2016
460	10805	1992
461	10824	1968
462	10858	1946
463	10893	1925
464	10915	1901
465	10936	1877
466	10960	1854
467	10980	1830
468	10999	1805
469	11027	1783
470	11053	1760
471	11081	1737
472	11104	1713
473	11127	1690
474	11154	1667
475	11175	1643
476	11196	1619
477	11218	1595
478	11243	1572
479	11266	1549
480	11287	1525
481	11311	1501
482	11330	1477
483	11351	1454
484	11370	1430
485	11404	1407
486	11430	1384
487	11455	1361
488	11485	1338
489	11510	1315
490	11539	1292
491	11561	1268
492	11581	1245
493	11606	1221
494	11624	1197
495	11648	1174
496	11670	1150
497	11696	1127
498	11721	1104
499	11746	1080
500	11770	1057
501	11796	1033
502	11818	1010
503	11838	986
504	11868	963
505	11890	939
506	11912	916
507	11933	892
508	11956	869
509	11977	845
510	12002	822
511	12029	798
512	12049	775
513	12072	751
514	12096	728
515	12119	704
516	12147	681
517	12170	657
518	12191	634
519	12218	610
520	12240	587
521	12264	563
522	12287	540
523	12313	516
524	12335	493
525	12361	470
526	12393	446
527	12417	423
528	12436	399
529	12460	376
530	12491	352
531	12520	329
532	12545	305
533	12571	282
534	12597	259
535	12621	235
536	12644	211
537	12673	188
538	12698	164
539	12717	141
540	12738	117
541	12761	94
542	12785	70
543	12812	47
544	12831	23
545	12857	0
