iter	Logloss
0	0.6455136755
1	0.6107419101
2	0.591502714
3	0.5706074943
4	0.5586359728
5	0.5455939998
6	0.5365590021
7	0.531777894
8	0.5271770402
9	0.5227558455
10	0.5187311799
11	0.5126979821
12	0.5102164483
13	0.5087165185
14	0.5073151117
15	0.5042121163
16	0.5029221727
17	0.5021755277
18	0.5015398282
19	0.5010219401
20	0.5001784894
21	0.4997161187
22	0.4990618241
23	0.4986414112
24	0.4982475071
25	0.4967676218
26	0.496399018
27	0.4960170334
28	0.4957601667
29	0.495579844
30	0.4951777733
31	0.4943513463
32	0.4941709819
33	0.4935968978
34	0.4933628137
35	0.4932490707
36	0.4931548721
37	0.4930410696
38	0.492934645
39	0.4928455595
40	0.4926927067
41	0.492587294
42	0.4924187866
43	0.4922612404
44	0.4921723037
45	0.4921426284
46	0.4920443971
47	0.4918866903
48	0.4918126969
49	0.4917531141
50	0.4916203147
51	0.4915433958
52	0.4914524948
53	0.4913889984
54	0.4912735649
55	0.4912164583
56	0.491128593
57	0.491083403
58	0.4909967698
59	0.4909292347
60	0.4908778989
61	0.4908208012
62	0.4907478197
63	0.4906131037
64	0.4905689523
65	0.490472846
66	0.4903750761
67	0.4903113951
68	0.4902636069
69	0.4901870481
70	0.4901528013
71	0.4901090607
72	0.4900694033
73	0.4900053473
74	0.4899359224
75	0.4898913662
76	0.4898365453
77	0.4897976379
78	0.489749936
79	0.4896628772
80	0.4895979314
81	0.489572143
82	0.4895162625
83	0.4894586767
84	0.4894242336
85	0.4893793917
86	0.4893580497
87	0.4891694562
88	0.4891419892
89	0.4891059954
90	0.4890691089
91	0.4890420823
92	0.4889943149
93	0.4889561724
94	0.4889466844
95	0.4889274643
96	0.4888919051
97	0.4888662238
98	0.4888438282
99	0.4888065666
100	0.4887727485
101	0.4887322042
102	0.4886949516
103	0.4886659816
104	0.4886407616
105	0.488606619
106	0.4885408191
107	0.4885009444
108	0.4884576234
109	0.4884199154
110	0.4883819217
111	0.4883476274
112	0.4883291454
113	0.4882974165
114	0.4882716102
115	0.4882183399
116	0.4881930395
117	0.4881484328
118	0.4881225848
119	0.4880877905
120	0.4880508235
121	0.4880172673
122	0.4879878658
123	0.4879652856
124	0.4879376817
125	0.4878938488
